-0.040283	-0.027313	-0.023193
-0.040436	-0.026855	-0.020142
-0.038605	-0.027161	-0.022430
-0.038605	-0.027008	-0.023651
-0.039825	-0.025635	-0.022125
-0.040741	-0.025330	-0.020905
-0.037689	-0.025787	-0.021820
-0.038910	-0.028992	-0.025024
-0.038452	-0.026245	-0.021667
-0.039978	-0.025482	-0.021820
-0.038910	-0.026703	-0.021515
-0.039978	-0.026093	-0.023041
-0.036621	-0.028534	-0.021973
-0.040588	-0.025940	-0.021820
-0.037384	-0.025177	-0.020905
-0.040283	-0.024872	-0.022278
-0.038147	-0.030060	-0.022125
-0.039978	-0.026245	-0.020294
-0.040741	-0.026093	-0.023956
-0.038300	-0.027008	-0.022125
-0.039062	-0.028534	-0.023804
-0.038605	-0.025787	-0.022736
-0.038300	-0.025482	-0.022888
-0.038757	-0.026550	-0.021210
-0.039368	-0.027161	-0.023956
-0.039215	-0.028687	-0.021210
-0.037689	-0.025787	-0.021515
-0.041656	-0.027924	-0.022736
-0.038757	-0.026703	-0.023499
-0.040436	-0.027313	-0.022430
-0.037842	-0.027008	-0.023346
-0.040131	-0.027924	-0.022736
-0.040131	-0.027618	-0.021667
-0.038452	-0.026093	-0.023193
-0.037384	-0.026855	-0.022583
-0.038757	-0.026245	-0.022430
-0.041199	-0.026550	-0.024109
-0.036621	-0.028229	-0.021820
-0.039825	-0.026093	-0.024567
-0.036926	-0.025482	-0.022583
-0.039520	-0.025787	-0.023346
-0.037689	-0.029602	-0.021515
-0.042267	-0.026245	-0.024109
-0.037384	-0.028381	-0.023041
-0.038605	-0.026093	-0.022278
-0.039215	-0.028076	-0.022888
-0.040741	-0.026703	-0.022430
-0.037689	-0.025787	-0.022583
-0.038300	-0.025330	-0.020905
-0.038300	-0.027008	-0.021820
-0.040588	-0.027466	-0.021820
-0.038910	-0.026398	-0.023346
-0.037384	-0.026855	-0.022125
-0.038910	-0.026855	-0.021362
-0.040741	-0.027618	-0.021057
-0.041199	-0.028076	-0.023804
-0.036774	-0.026550	-0.022125
-0.039368	-0.026245	-0.023956
-0.039825	-0.027008	-0.022583
-0.040131	-0.027466	-0.022736
-0.038757	-0.026398	-0.023651
-0.037384	-0.025635	-0.022736
-0.037689	-0.026703	-0.019684
-0.037994	-0.025787	-0.020905
-0.040283	-0.027924	-0.023956
-0.037384	-0.024567	-0.022888
-0.038605	-0.026245	-0.021820
-0.040131	-0.026245	-0.021057
-0.038300	-0.027618	-0.022430
